Category,Text
Greeting,"Hello, how are you?"
Greeting,Good morning!
Greeting,"Hi, nice to meet you!"
Greeting,Hey there!
Greeting,What's up?
Small Talk,How's the weather today?
Small Talk,Did you watch the game last night?
Small Talk,What are your weekend plans?
Small Talk,That's interesting!
Small Talk,Can you believe it?
Business,Let's schedule a meeting.
Business,Can you send me the report?
Business,We need to increase our budget.
Business,The project deadline is next week.
Business,I'm working on the presentation.
Education,What did you learn today?
Education,Can you explain this concept?
Education,I'm studying for an exam.
Education,What books are you reading?
Education,The lecture was very informative.
Technology,Have you updated your software?
Technology,My phone is not working properly.
Technology,What programming languages do you know?
Technology,This app is really useful.
Technology,Do you use any AI tools?
Travel,Where did you go on vacation?
Travel,I love visiting new places.
Travel,Do you have a favorite destination?
Travel,Can you recommend a good hotel?
Travel,Traveling broadens the mind.
